OBJECTID,SEED_ZONE,REGION,SUBREGION,SUBZONE,Shape__Area,Shape__Length,GlobalID
75,140,1,4,0,2628018536.43634,363245.483296139,c5eb224e-49f7-4e40-98d3-60425a024e7a
76,991,9,9,1,4903831136.26772,376998.413704844,904df49c-b475-4af0-91ed-ce31dee88092
77,992,9,9,2,6921062243.61586,438303.467075691,ada6fa79-50d6-47a6-87a3-b3182dabd079
78,993,9,9,3,3242388887.12042,281827.300403074,d08b4bf9-3c68-45b2-abb8-3303cbe8a7df
79,994,9,9,4,4271801815.58433,282648.016666445,792f7c60-dab4-47c4-acea-e071d2294376
80,995,9,9,5,5556208404.97481,704356.78904183,65a36c09-9e92-4b4e-bdd8-e0d4b6d03b82
81,984,9,8,4,3749643067.47562,263882.095654125,b352d5cb-930b-430a-937b-aef68e8a059f
82,996,9,9,6,5626766941.52471,354387.344957312,7614d17f-ea43-442c-83b4-571cabe5eb7b
83,150,1,5,0,250227836.567529,120152.708893196,90711be5-26db-4ca4-82bc-098eaf15d59f
84,150,1,5,0,38528705.4800911,44322.8508733037,ddc6a129-16bc-438f-939d-9ff9d8aca9e6
85,150,1,5,0,214772357.152429,82103.3494912908,1a4a7a49-8d81-455c-869f-3f23868706e8
86,997,9,9,7,1938267686.70892,206524.994720889,05e88434-e2b5-49ff-b4c8-ff34cee2be5d
87,985,9,8,5,12238872457.7236,543354.369656907,8ca06f59-4f72-4249-a00c-d6798b04e8e3
88,986,9,8,6,6602299462.2719,386811.478905326,5b9994e6-57a0-482c-bf37-160303a6a60c
89,998,9,9,8,8057870183.7776,546050.937488171,f15fb4f2-487e-4543-94a3-0464cb687a3c
90,150,1,5,0,193969484.398167,102144.447513962,9fe54f15-91ea-47a1-a3d6-615748a30454
91,150,1,5,0,58584901.434166,43082.4063550256,a782b2ed-e525-4cb7-b5d5-135b26e8fa05
92,150,1,5,0,146802030.38472,91080.9150785289,373e52a0-e373-495a-949e-19cc674e5b2d
